MAIN: rcv event, t=73.753, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=73.954, at 2 src: 0, dest: 2, contents:   4   1   3   7
MAIN: rcv event, t=74.055, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=74.438, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=74.822, at 0 src: 3, dest: 0, contents:   4 999   3   0
MAIN: rcv event, t=74.841, at 1 src: 2, dest: 1, contents:   1   1   0   2
MAIN: rcv event, t=75.508, at 3 src: 0, dest: 3, contents:   2   1   3   7
MAIN: rcv event, t=75.578, at 2 src: 1, dest: 2, contents:   2   0   1 999
MAIN: rcv event, t=75.841, at 0 src: 1, dest: 0, contents:   2   0   1 999
MAIN: rcv event, t=75.934, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=76.204, at 1 src: 0, dest: 1, contents:   2   1   3   7
MAIN: rcv event, t=76.758, at 3 src: 2, dest: 3, contents:   1   1   0   2
MAIN: rcv event, t=77.127, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=77.140, at 2 src: 3, dest: 2, contents:   4 999   3   0
MAIN: rcv event, t=77.246, at 1 src: 2, dest: 1, contents:   1   1   0   2
